datetime,open,high,low,close,volume,spread
2025-04-22 17:55:00+00:00,18211.35,18241.15,18204.05,18227.55,1407,190
2025-04-22 18:00:00+00:00,18228.45,18254.05,18224.95,18246.55,1368,190
2025-04-22 18:05:00+00:00,18247.15,18260.85,18244.45,18258.75,1298,180
2025-04-22 18:10:00+00:00,18258.95,18264.45,18252.65,18260.15,1295,180
2025-04-22 18:15:00+00:00,18259.85,18269.05,18253.95,18266.35,1358,190
2025-04-22 18:20:00+00:00,18266.55,18272.15,18246.25,18259.65,1460,180
2025-04-22 18:25:00+00:00,18260.65,18260.65,18236.15,18238.35,1392,190
2025-04-22 18:30:00+00:00,18238.45,18244.45,18224.55,18241.45,1370,190
2025-04-22 18:35:00+00:00,18241.55,18244.65,18211.05,18212.65,1332,190
2025-04-22 18:40:00+00:00,18213.05,18218.65,18174.95,18178.85,1443,190
2025-04-22 18:45:00+00:00,18179.65,18190.95,18175.35,18188.45,1356,190
2025-04-22 18:50:00+00:00,18189.35,18224.55,18183.05,18210.45,1452,190
2025-04-22 18:55:00+00:00,18210.55,18278.45,18197.05,18265.55,1522,190
2025-04-22 19:00:00+00:00,18265.95,18335.85,18265.95,18305.55,1928,190
2025-04-22 19:05:00+00:00,18305.85,18329.85,18290.55,18318.35,1721,190
2025-04-22 19:10:00+00:00,18315.85,18351.85,18312.35,18349.45,1547,190
2025-04-22 19:15:00+00:00,18349.05,18359.15,18333.05,18350.15,1491,190
2025-04-22 19:20:00+00:00,18349.85,18386.05,18347.45,18382.95,1454,190
2025-04-22 19:25:00+00:00,18382.85,18399.85,18370.95,18381.15,1442,190
2025-04-22 19:30:00+00:00,18381.55,18392.95,18362.55,18369.15,1502,190
2025-04-22 19:35:00+00:00,18368.55,18373.55,18353.55,18353.55,1378,190
2025-04-22 19:40:00+00:00,18353.05,18358.85,18325.45,18357.55,1425,190
2025-04-22 19:45:00+00:00,18357.65,18365.35,18334.65,18348.55,1348,190
2025-04-22 19:50:00+00:00,18349.55,18350.35,18309.15,18341.15,1462,190
2025-04-22 19:55:00+00:00,18341.05,18351.65,18332.85,18335.55,1323,190
2025-04-22 20:00:00+00:00,18336.55,18354.55,18332.55,18343.75,1434,190
2025-04-22 20:05:00+00:00,18344.05,18378.15,18327.85,18354.35,1596,190
2025-04-22 20:10:00+00:00,18353.65,18353.65,18254.05,18269.85,1848,190
2025-04-22 20:15:00+00:00,18269.55,18273.15,18182.35,18236.15,1856,190
2025-04-22 20:20:00+00:00,18231.75,18243.75,18161.75,18175.15,1786,190
2025-04-22 20:25:00+00:00,18176.65,18219.75,18135.05,18144.15,1809,190
2025-04-22 20:30:00+00:00,18143.85,18168.65,18121.35,18155.75,1817,190
2025-04-22 20:35:00+00:00,18156.75,18198.75,18153.25,18174.75,1707,190
2025-04-22 20:40:00+00:00,18174.65,18185.75,18143.15,18166.75,1608,190
2025-04-22 20:45:00+00:00,18166.05,18172.55,18114.55,18116.05,1602,190
2025-04-22 20:50:00+00:00,18114.85,18140.05,18097.15,18136.05,1547,190
2025-04-22 20:55:00+00:00,18137.55,18145.05,18108.25,18108.35,1473,190
2025-04-22 21:00:00+00:00,18108.55,18165.05,18104.25,18164.85,1536,190
2025-04-22 21:05:00+00:00,18165.25,18196.85,18159.75,18180.15,1525,190
2025-04-22 21:10:00+00:00,18180.25,18196.25,18172.85,18194.75,1432,190
2025-04-22 21:15:00+00:00,18194.35,18201.75,18176.75,18194.55,1421,190
2025-04-22 21:20:00+00:00,18193.65,18243.35,18191.75,18229.05,1447,190
2025-04-22 21:25:00+00:00,18228.35,18240.35,18221.35,18233.05,1346,190
2025-04-22 21:30:00+00:00,18232.85,18246.75,18229.55,18241.65,1313,190
2025-04-22 21:35:00+00:00,18242.65,18256.65,18230.25,18231.15,1307,190
2025-04-22 21:40:00+00:00,18231.75,18254.75,18228.35,18244.15,1332,190
2025-04-22 21:45:00+00:00,18244.75,18267.25,18244.75,18256.35,1327,190
2025-04-22 21:50:00+00:00,18258.35,18281.05,18258.25,18274.15,1260,190
2025-04-22 21:55:00+00:00,18273.25,18285.05,18268.85,18268.85,1243,180
2025-04-22 22:00:00+00:00,18268.25,18281.05,18255.85,18274.65,1347,190
2025-04-22 22:05:00+00:00,18274.25,18280.85,18243.55,18246.55,1422,190
2025-04-22 22:10:00+00:00,18247.05,18249.15,18213.55,18222.35,1423,190
2025-04-22 22:15:00+00:00,18222.25,18228.35,18175.15,18191.25,1428,190
2025-04-22 22:20:00+00:00,18191.05,18194.55,18150.85,18172.75,1480,190
2025-04-22 22:25:00+00:00,18173.65,18186.25,18148.15,18158.75,1385,190
2025-04-22 22:30:00+00:00,18157.85,18170.05,18141.05,18150.85,1250,190
2025-04-22 22:35:00+00:00,18151.55,18167.55,18126.85,18129.75,1362,190
2025-04-22 22:40:00+00:00,18129.65,18223.55,18126.25,18209.55,1520,190
2025-04-22 22:45:00+00:00,18207.05,18252.75,18205.55,18246.25,1475,190
2025-04-22 22:50:00+00:00,18239.75,18276.25,18200.55,18255.65,1706,190
2025-04-22 22:55:00+00:00,18256.35,18291.35,18238.25,18271.65,1625,190
2025-04-22 23:00:00+00:00,18275.35,18321.35,18255.85,18272.45,1236,200
2025-04-22 23:05:00+00:00,18273.05,18273.05,18240.75,18249.85,771,200
2025-04-22 23:10:00+00:00,18248.55,18257.25,18231.55,18243.55,624,200
2025-04-22 23:15:00+00:00,18243.75,18255.55,18236.25,18238.25,499,200
2025-04-22 23:20:00+00:00,18238.75,18256.05,18237.35,18244.25,493,200
2025-04-22 23:25:00+00:00,18244.35,18256.85,18240.55,18256.75,431,200
2025-04-22 23:30:00+00:00,18256.95,18266.55,18250.85,18252.95,539,200
2025-04-22 23:35:00+00:00,18252.55,18264.85,18248.75,18260.25,486,200
2025-04-22 23:40:00+00:00,18259.95,18263.55,18244.75,18252.45,408,190
2025-04-22 23:45:00+00:00,18251.45,18251.45,18233.95,18236.75,520,200
2025-04-22 23:50:00+00:00,18236.55,18245.35,18234.95,18237.85,391,200
2025-04-22 23:55:00+00:00,18239.05,18245.95,18237.45,18241.55,282,200
2025-04-23 01:05:00+00:00,18631.45,18635.25,18550.45,18550.85,929,200
2025-04-23 01:10:00+00:00,18550.95,18576.25,18531.95,18575.85,697,200
2025-04-23 01:15:00+00:00,18575.95,18579.45,18558.85,18569.45,876,200
2025-04-23 01:20:00+00:00,18569.35,18595.95,18553.95,18589.95,932,200
2025-04-23 01:25:00+00:00,18589.55,18611.75,18571.75,18611.75,1007,200
2025-04-23 01:30:00+00:00,18611.25,18613.75,18582.75,18586.95,918,200
2025-04-23 01:35:00+00:00,18587.25,18594.35,18566.95,18593.45,856,200
2025-04-23 01:40:00+00:00,18593.25,18620.75,18590.55,18620.05,718,200
2025-04-23 01:45:00+00:00,18620.45,18637.95,18610.95,18631.75,840,200
2025-04-23 01:50:00+00:00,18629.95,18648.35,18624.45,18647.85,795,200
2025-04-23 01:55:00+00:00,18647.95,18652.05,18626.55,18652.05,609,200
2025-04-23 02:00:00+00:00,18651.45,18671.75,18639.95,18653.45,964,200
2025-04-23 02:05:00+00:00,18651.75,18675.75,18644.25,18668.55,857,200
2025-04-23 02:10:00+00:00,18668.85,18687.05,18668.05,18683.95,682,200
2025-04-23 02:15:00+00:00,18683.85,18688.35,18640.95,18644.85,860,200
2025-04-23 02:20:00+00:00,18646.05,18651.95,18627.35,18630.05,742,200
2025-04-23 02:25:00+00:00,18629.95,18635.25,18619.45,18631.95,672,200
2025-04-23 02:30:00+00:00,18630.35,18631.85,18620.05,18626.05,540,200
2025-04-23 02:35:00+00:00,18626.35,18642.25,18614.85,18630.85,649,200
2025-04-23 02:40:00+00:00,18630.95,18634.75,18627.05,18634.45,469,200
2025-04-23 02:45:00+00:00,18634.55,18647.95,18619.45,18646.75,679,200
2025-04-23 02:50:00+00:00,18646.85,18653.55,18638.35,18645.95,655,200
2025-04-23 02:55:00+00:00,18644.85,18652.25,18644.85,18648.25,499,200
2025-04-23 03:00:00+00:00,18649.35,18655.55,18635.25,18654.85,744,200
2025-04-23 03:05:00+00:00,18654.45,18657.85,18628.05,18631.45,817,200
2025-04-23 03:10:00+00:00,18631.25,18634.05,18614.85,18622.95,888,200
2025-04-23 03:15:00+00:00,18622.45,18630.85,18601.85,18616.25,1006,200
2025-04-23 03:20:00+00:00,18616.05,18620.75,18605.45,18609.05,610,200
2025-04-23 03:25:00+00:00,18608.95,18611.05,18583.55,18586.05,758,200
2025-04-23 03:30:00+00:00,18586.25,18591.95,18562.25,18572.35,823,200
2025-04-23 03:35:00+00:00,18572.25,18583.05,18569.75,18578.95,706,200
2025-04-23 03:40:00+00:00,18578.75,18581.75,18563.05,18563.85,675,200
2025-04-23 03:45:00+00:00,18562.85,18581.25,18561.35,18568.55,704,200
2025-04-23 03:50:00+00:00,18568.35,18591.25,18568.25,18583.75,658,200
2025-04-23 03:55:00+00:00,18583.95,18591.85,18581.25,18588.75,580,200
2025-04-23 04:00:00+00:00,18588.95,18603.25,18574.45,18596.75,865,200
2025-04-23 04:05:00+00:00,18595.85,18599.55,18591.85,18598.05,583,200
2025-04-23 04:10:00+00:00,18597.85,18611.95,18595.55,18606.55,578,200
2025-04-23 04:15:00+00:00,18606.95,18612.25,18594.95,18600.75,679,200
2025-04-23 04:20:00+00:00,18600.05,18611.05,18586.05,18590.05,784,200
2025-04-23 04:25:00+00:00,18589.85,18594.05,18588.75,18591.55,586,200
2025-04-23 04:30:00+00:00,18591.85,18594.75,18564.95,18565.25,884,200
2025-04-23 04:35:00+00:00,18564.95,18565.25,18530.95,18534.05,883,200
2025-04-23 04:40:00+00:00,18535.05,18535.95,18519.45,18533.05,846,200
2025-04-23 04:45:00+00:00,18532.95,18545.55,18524.95,18528.55,785,200
2025-04-23 04:50:00+00:00,18527.75,18535.95,18512.05,18524.35,761,200
2025-04-23 04:55:00+00:00,18524.55,18537.75,18521.25,18528.95,626,200
2025-04-23 05:00:00+00:00,18529.05,18534.85,18514.35,18520.75,749,200
2025-04-23 05:05:00+00:00,18521.25,18546.05,18518.05,18544.45,699,200
2025-04-23 05:10:00+00:00,18544.85,18547.45,18539.75,18547.45,525,200
2025-04-23 05:15:00+00:00,18547.05,18550.55,18543.45,18550.55,463,200
2025-04-23 05:20:00+00:00,18550.45,18551.95,18537.25,18550.85,449,200
2025-04-23 05:25:00+00:00,18550.95,18560.35,18549.95,18554.75,512,200
2025-04-23 05:30:00+00:00,18554.35,18557.55,18552.35,18554.95,411,200
2025-04-23 05:35:00+00:00,18554.75,18566.05,18553.75,18564.55,468,200
2025-04-23 05:40:00+00:00,18565.75,18583.85,18565.75,18579.95,645,200
2025-04-23 05:45:00+00:00,18580.75,18599.75,18580.45,18595.85,512,200
2025-04-23 05:50:00+00:00,18595.95,18595.95,18571.75,18576.75,610,200
2025-04-23 05:55:00+00:00,18575.95,18579.25,18569.55,18572.75,394,190
2025-04-23 06:00:00+00:00,18572.05,18573.45,18549.75,18559.45,570,200
2025-04-23 06:05:00+00:00,18559.25,18565.85,18554.45,18556.75,412,190
2025-04-23 06:10:00+00:00,18556.35,18568.05,18553.95,18556.85,495,190
2025-04-23 06:15:00+00:00,18557.25,18565.75,18553.45,18561.05,410,190
2025-04-23 06:20:00+00:00,18560.95,18576.85,18556.35,18575.95,476,200
2025-04-23 06:25:00+00:00,18576.05,18576.05,18561.85,18569.85,346,200
2025-04-23 06:30:00+00:00,18568.85,18574.05,18560.75,18574.05,496,200
