id,direction,entry_price,entry_time,entry_time_ts,exit_price,exit_time,exit_time_ts,exit_reason,sl,tps,initial_size,pnl,pnl_percent,cumulative_pnl,tp_hits,r_return
1,long,3335.01,2025-04-24 10:00:00+00:00,1745488800,3331.15,2025-04-24 11:20:00+00:00,1745493600,Signal,3309.73,"[np.float64(3447.97), np.float64(3583.69), None, None, None]",39.55,-152.66,-0.12,-152.66,[],-0.15
2,short,3331.15,2025-04-24 11:20:00+00:00,1745493600,3335.75,2025-04-24 20:15:00+00:00,1745525700,SL,3335.6,"[np.float64(3250.54), np.float64(3153.62), None, None, None]",55.26,-253.93,-0.14,-406.59,[],-0.25
3,short,3291.59,2025-04-28 08:35:00+00:00,1745829300,3298.17,2025-04-28 15:20:00+00:00,1745853600,SL,3298.02,"[np.float64(3222.56), np.float64(3139.54), None, None, None]",64.42,-423.75,-0.2,-830.34,[],-0.42
4,short,3316.55,2025-04-29 10:35:00+00:00,1745922900,3315.54,2025-04-29 16:05:00+00:00,1745942700,SL,3315.39,"[np.float64(3275.12), np.float64(3225.23), None, None, None]",106.51,107.3,0.03,-723.04,[],0.11
5,short,3312.97,2025-04-29 16:20:00+00:00,1745943600,3320.2,2025-04-29 19:30:00+00:00,1745955000,SL,3320.05,"[np.float64(3256.35), np.float64(3188.22), None, None, None]",78.33,-565.97,-0.22,-1289.01,[],-0.57
6,short,3222.6,2025-05-01 16:50:00+00:00,1746118200,3231.72,2025-05-01 23:05:00+00:00,1746140700,SL,3231.57,"[np.float64(3148.34), np.float64(3059.06), None, None, None]",59.94,-546.37,-0.28,-1835.38,[],-0.55
7,long,3250.24,2025-05-02 09:50:00+00:00,1746179400,3259.46,2025-05-02 13:15:00+00:00,1746191700,News Embargo,3250.38,"[np.float64(3296.64), np.float64(3352.5), None, None, None]",95.29,878.57,0.28,-956.8,[],0.88
8,long,3259.85,2025-05-02 15:35:00+00:00,1746200100,3242.22,2025-05-02 16:05:00+00:00,1746201900,SL,3242.37,"[np.float64(3337.68), np.float64(3431.26), None, None, None]",57.21,-1008.58,-0.54,-1965.39,[],-1.01
9,long,3252.34,2025-05-02 17:10:00+00:00,1746205800,3230.76,2025-05-02 18:50:00+00:00,1746211800,SL,3230.91,"[np.float64(3347.94), np.float64(3462.84), None, None, None]",46.67,-1007.04,-0.66,-2972.43,[],-1.01
10,long,3318.48,2025-05-05 17:00:00+00:00,1746464400,3360.49,2025-05-06 05:45:00+00:00,1746510300,SL,3360.64,"[np.float64(3391.59), np.float64(3479.49), None, None, None]",60.87,2557.37,1.27,-415.05,[],2.56
11,long,3357.87,2025-05-06 08:45:00+00:00,1746521100,3408.01,2025-05-07 01:05:00+00:00,1746579900,Trail_SL,3408.16,"[np.float64(3432.01), np.float64(3521.16), None, None, None]",60.03,3725.73,1.85,3310.68,[1],3.73
12,short,3384.27,2025-05-07 10:45:00+00:00,1746614700,3385.79,2025-05-07 16:20:00+00:00,1746634800,Signal,3397.14,"[np.float64(3306.55), np.float64(3213.1), None, None, None]",57.29,-87.08,-0.04,3223.6,[],-0.09
13,long,3385.79,2025-05-07 16:20:00+00:00,1746634800,3385.63,2025-05-07 17:10:00+00:00,1746637800,Signal,3377.96,"[np.float64(3441.34), np.float64(3508.17), None, None, None]",79.83,-12.77,-0.0,3210.82,[],-0.01
14,short,3385.63,2025-05-07 17:10:00+00:00,1746637800,3387.72,2025-05-07 17:35:00+00:00,1746639300,Signal,3402.84,"[np.float64(3309.02), np.float64(3216.9), None, None, None]",58.11,-121.45,-0.06,3089.37,[],-0.12
15,long,3387.72,2025-05-07 17:35:00+00:00,1746639300,3385.18,2025-05-07 18:45:00+00:00,1746643500,News Embargo,3373.98,"[np.float64(3448.71), np.float64(3522.07), None, None, None]",72.8,-184.91,-0.07,2904.46,[],-0.18
16,short,3235.54,2025-05-14 10:40:00+00:00,1747219200,3191.36,2025-05-14 16:30:00+00:00,1747240200,Trail_SL,3191.21,"[np.float64(3190.42), np.float64(3136.09), None, None, None]",97.94,4365.97,1.38,7270.43,[1],4.37
17,short,3312.82,2025-05-22 16:20:00+00:00,1747930800,3297.94,2025-05-22 17:25:00+00:00,1747934700,SL,3297.79,"[np.float64(3261.31), np.float64(3199.31), None, None, None]",85.98,1279.48,0.45,8549.91,[],1.28
18,long,3345.6,2025-05-26 08:35:00+00:00,1748248500,3339.23,2025-05-26 09:25:00+00:00,1748251500,SL,3339.38,"[np.float64(3375.02), np.float64(3410.51), None, None, None]",148.78,-948.35,-0.19,7601.56,[],-0.95
19,long,3302.91,2025-05-30 15:10:00+00:00,1748617800,3299.2,2025-05-30 15:30:00+00:00,1748619000,Signal,3273.83,"[np.float64(3432.96), np.float64(3589.19), None, None, None]",34.38,-127.55,-0.11,7474.01,[],-0.13
20,short,3299.2,2025-05-30 15:30:00+00:00,1748619000,3293.94,2025-05-30 19:55:00+00:00,1748634900,SL,3293.79,"[np.float64(3237.77), np.float64(3163.88), None, None, None]",72.28,379.85,0.16,7853.86,[],0.38
21,long,3375.91,2025-06-05 06:30:00+00:00,1749105000,3366.13,2025-06-05 07:15:00+00:00,1749107700,SL,3366.28,"[np.float64(3418.43), np.float64(3469.64), None, None, None]",103.81,-1015.56,-0.29,6838.3,[],-1.02
22,short,3361.15,2025-06-06 06:10:00+00:00,1749190200,3373.53,2025-06-06 07:20:00+00:00,1749194400,SL,3373.38,"[np.float64(3306.94), np.float64(3241.72), None, None, None]",81.77,-1012.23,-0.37,5826.07,[],-1.01
23,long,3364.03,2025-06-06 11:25:00+00:00,1749209100,3353.0,2025-06-06 12:45:00+00:00,1749213900,SL,3353.15,"[np.float64(3412.16), np.float64(3470.09), None, None, None]",91.93,-1013.83,-0.33,4812.24,[],-1.01
24,long,3316.25,2025-06-09 16:30:00+00:00,1749486600,3321.58,2025-06-10 01:45:00+00:00,1749519900,SL,3321.73,"[np.float64(3361.53), np.float64(3416.05), None, None, None]",97.6,519.89,0.16,5332.13,[],0.52
25,long,3338.09,2025-06-11 15:15:00+00:00,1749654900,3330.49,2025-06-11 16:45:00+00:00,1749660300,SL,3330.64,"[np.float64(3421.55), np.float64(3521.89), None, None, None]",53.39,-405.72,-0.23,4926.41,[],-0.41
26,short,3419.16,2025-06-16 13:40:00+00:00,1750081200,3415.27,2025-06-16 16:20:00+00:00,1750090800,SL,3415.12,"[np.float64(3394.14), np.float64(3363.93), None, None, None]",174.09,677.09,0.11,5603.49,[],0.68
27,short,3384.72,2025-06-18 14:10:00+00:00,1750255800,3390.26,2025-06-18 15:45:00+00:00,1750261500,SL,3390.11,"[np.float64(3339.55), np.float64(3285.17), None, None, None]",97.84,-542.32,-0.16,5061.18,[],-0.54
28,short,3367.79,2025-06-19 17:35:00+00:00,1750354500,3356.08,2025-06-20 09:25:00+00:00,1750411500,SL,3355.93,"[np.float64(3324.48), np.float64(3272.33), None, None, None]",101.97,1193.91,0.35,6255.09,[],1.19
29,short,3327.74,2025-06-25 07:10:00+00:00,1750835400,3327.43,2025-06-25 16:00:00+00:00,1750867200,SL,3327.28,"[np.float64(3285.22), np.float64(3234.02), None, None, None]",103.82,32.05,0.01,6287.13,[],0.03
